text,anger,disgust,fear,sadness,joy,surprise,neutral
Только дети могут такого бояться.,0,0,1,0,0,0,0
"Я просто смотрю на такую машину, страховку не дают.",0,0,1,0,0,0,0
"Если вы хотите себе домашний кинотеатр, я думаю, что вот такого телевизора вам вполне размера будет достаточно. Посмотрите внимательно. А вот рядом модель есть Philips. Аналогичный, дешевле, но с теми же функциями.",0,1,0,0,0,0,0
"Прекрасно. А значная стоимость доставки только в том случае, если вы у нас застрахуете свой товар.",0,0,1,0,0,0,0
Они приедут и оштрафуют тебя на полторы тысячи сразу же. Они сразу же из тебя возьмут полторы тысячи. А потом ты судиться со мной будешь два года. И получишь две тысячи.,0,1,0,0,0,0,0
"Вы знаете, я очень довольна вашей компанией, но мне хотелось бы, чтобы к этому тарифу еще были подключены некоторые услуги.",0,1,0,0,0,0,0
ну честно говоря как обычным любым другим пультом телевизора скорее всего ну вот красная кнопка включения выключения остальные функции можно посмотреть в инструкции,0,1,0,0,0,0,0
"Фууу, Таня, советская вот эта...",0,1,0,0,0,0,0
"Может быть, возьмёте кальянчик, о чём-нибудь подумаете, может быть, книжечку. Ну, вот как бы всё здесь устроено для того, чтобы вам было комфортно, уютно и, самое главное, функционально.",0,1,0,0,0,0,0
"Что сделано, что, как, как у вас теперь кухня расположена, какой у неё функционал, сколько возможностей в этой кухне есть теперь для вас.",0,1,0,0,0,0,0
"Да нет, это не просто печально. Ну вы сами посмотрите. Ну за порядком-то у нас во дворе-то кто-то следить должен? Должен. Помните, кто у нас следит за порядком.",0,0,0,1,0,0,0
"А во сне бывает что-то подобное? Какие-то страхи, ужасы?",0,0,1,0,0,0,0
"Ой, как здорово! Я даже представить не могла, что в нашем спектакле будет настоящая звезда! Если я расскажу, это будет просто фурор!",0,1,0,0,0,0,0
"Чё ты там испугалась? Ну кружочек мелом нарисовали. Боже мой, ну нашла чего бояться.",0,0,1,0,0,0,0
"например, меланхолично, вы можете более яркого света добавить, и тогда у вас будет подниматься настроение, и все функционировать будет в другом ракурсе.",0,1,0,0,0,0,0
"Я не знаю, что сказать. Вот честно, у меня такое ощущение, мне очень хочется, чтобы ты оказалась хоть на секунду, хоть на 10 секунд на моем месте, чтобы ты почувствовала весь страх и ужас, который я испытала.",0,0,1,0,0,0,0
"как обычный. А когда вы выезжаете, этот роуминг работает, но доплата идет 100 рублей к тарифу. Если вы часто выезжаете, то для вас это будет очень выгодное предложение.",0,1,0,0,0,0,0
"Там всё, все функции заложены, конечно же, в этом телевизоре.",0,1,0,0,0,0,0
